manual,,n/a,1
coalfire,1,n/a,1
dell,2,public,1
tmobile,2,public,1
netgear,2,public,1
arubanetworks,2,public,1
arlo,2,public,1
atlassian,2,public,0
carvana,2,public,1
nab,2,public,1
draftkings,2,public,1
meraki,2,public,1
tesla,2,public,1
sophos,2,public,1
zalora,2,public,1
thrivent,2,public,1
smartnews,2,public,1
comcast,2,public,1
kohls,2,public,1
fis,2,public,1
cisco,2,public,1
gendigitalinc,2,public,1
practicefusion,2,public,1
entain,2,public,1
gopro,2,public,1
latitude-financial,2,public,1
pokemon,2,public,1
statefarm,2,public,0
starlink,2,public,1
vw,2,public,1
tripadvisor,2,public,1
mercedes-benz,2,public,1
safetyculture,2,public,1
socure,2,public,1
traveloka,2,public,1
globalstar,2,public,1
worldpay,2,public,1
wufoo,2,public,1
worldremit,2,public,1
pornhub,2,public,1
betterhelp,2,public,1
recroom,2,public,1
viator,2,public,1
newrelic,2,public,1
openai,2,public,1
opsgenie,2,public,1
fastretailing,2,public,1
trafficjunky,2,public,1
deputy,2,public,1
sempraenergy,2,public,1
sourcr,2,public,1
bitdefender,2,public,1
asana,2,public,1
optus,2,public,1
nubank,2,public,1
bitstamp,2,public,1
storytel,2,public,1
hubspot,2,public,1
etsy,2,public,1
wise,2,public,1
justeattakeaway,2,public,1
gfg,2,public,1
square,2,public,1
humansecurity,2,public,1
techvalidate,2,public,1
campaignmonitor,2,public,1
kick,2,public,1
liveclicker,2,public,1
kaleido,2,public,1
plusgrade,2,public,1
tidal,2,public,1
seek,2,public,1
opera,2,public,1
imperva,2,public,1
northwesternmutual,2,public,0
privateinternetaccess,2,public,1
synchrony,2,public,1
immutable,2,public,1
ifood,2,public,1
originenergy,2,public,1
wapo,2,public,1
soundcloud,2,public,1
flourish,2,public,1
linktree,2,public,1
backblaze,2,public,1
pinterest,2,public,1
toast,2,public,1
dropbox,2,public,1
cyberghost,2,public,1
certinia,2,public,1
bluevoyant,2,public,1
1shoppingcart,2,public,1
octopus,2,public,1
pexels,2,public,1
bolt,2,public,1
binance,2,public,1
bugcrowd,2,public,1
hutgroup,2,public,1
verisign,2,public,1
smartmockups,2,public,1
afterpay,2,public,1
rapyd,2,public,1
epam,2,public,1
canva,2,public,1
pixabay,2,public,1
lululemon,2,public,0
indeed,2,public,1
acorns,2,public,1
moniepoint,2,public,1
klaviyo,2,public,1
overstock,2,public,1
txjobcloud,2,public,1
theiconic,2,public,1
walmart,3,public,0
lds,1,n/a,1
