126.com,1
163.com,1
21cn.com,1
aim.com,1
aliceadsl.fr,1
alice.it,1
aliyun.com,1
aol.com,1
aol.it,1
arcor.de,1
arnet.com.ar,1
att.net,1
bell.net,1
bellsouth.net,1
bigpond.com,1
bigpond.net.au,1
bluewin.ch,1
blueyonder.co.uk,1
bol.com.br,1
bt.com,1
btinternet.com,1
centurytel.net,1
charter.net,1
chello.nl,1
club-internet.fr,1
comcast.net,1
cox.net,1
daum.net,1
earthlink.net,1
email.com,1
email.it,1
facebook.com,1
fastmail.fm,1
fibertel.com.ar,1
foxmail.com,1
free.fr,1
freenet.de,1
freeserve.co.uk,1
frontiernet.net,1
games.com,1
globo.com,1
globomail.com,1
gmail.com,1
gmx.com,1
gmx.de,1
gmx.fr,1
gmx.net,1
google.com,1
googlemail.com,1
hanmail.net,1
hetnet.nl,1
home.nl,1
hotmail.be,1
hotmail.ca,1
hotmail.com,1
hotmail.com.ar,1
hotmail.com.br,1
hotmail.com.mx,1
hotmail.co.uk,1
hotmail.de,1
hotmail.es,1
hotmail.fr,1
hotmail.it,1
hush.com,1
hushmail.com,1
icloud.com,1
ig.com.br,1
iname.com,1
inbox.com,1
itelefonica.com.br,1
juno.com,1
keemail.me,1
laposte.net,1
lavabit.com,1
libero.it,1
list.ru,1
live.be,1
live.ca,1
live.com,1
live.com.ar,1
live.com.au,1
live.com.mx,1
live.co.uk,1
live.de,1
live.fr,1
live.it,1
live.nl,1
love.com,1
mac.com,1
mail.com,1
mail.ru,1
me.com,1
msn.com,1
nate.com,1
naver.com,1
neuf.fr,1
ntlworld.com,1
o2.co.uk,1
oi.com.br,1
online.de,1
optonline.net,1
optusnet.com.au,1
orange.fr,1
orange.net,1
outlook.com,1
outlook.com.br,1
planet.nl,1
pobox.com,1
poste.it,1
prodigy.net.mx,1
protonmail.ch,1
protonmail.com,1
qq.com,1
r7.com,1
rambler.ru,1
rediffmail.com,1
rocketmail.com,1
rogers.com,1
safe-mail.net,1
sbcglobal.net,1
sfr.fr,1
shaw.ca,1
sina.cn,1
sina.com,1
sky.com,1
skynet.be,1
speedy.com.ar,1
sympatico.ca,1
talktalk.co.uk,1
telenet.be,1
teletu.it,1
terra.com.br,1
tin.it,1
tiscali.co.uk,1
tiscali.it,1
t-online.de,1
tuta.io,1
tutamail.com,1
tutanota.com,1
tutanota.de,1
tvcablenet.be,1
uol.com.br,1
verizon.net,1
virgilio.it,1
virginmedia.com,1
virgin.net,1
voila.fr,1
voo.be,1
wanadoo.co.uk,1
wanadoo.fr,1
web.de,1
windstream.net,1
wow.com,1
xfinity.com,1
xfinity.net,1
yahoo.ca,1
yahoo.co.id,1
yahoo.co.in,1
yahoo.co.jp,1
yahoo.co.kr,1
yahoo.com,1
yahoo.com.ar,1
yahoo.com.au,1
yahoo.com.br,1
yahoo.com.mx,1
yahoo.com.ph,1
yahoo.com.sg,1
yahoo.co.uk,1
yahoo.de,1
yahoo.es,1
yahoo.fr,1
yahoo.in,1
yahoo.it,1
yandex.com,1
yandex.ru,1
ya.ru,1
yeah.net,1
ygm.com,1
ymail.com,1
zipmail.com.br,1
zoho.com,1
zonnet.nl,1
